Designator,Mid X,Mid Y,Rotation,Layer
J1_16,9.81,-27.37,0.0,top
J1_15,21.01,-36.77,0.0,top
J1_14,32.21,-36.77,0.0,top
J1_13,43.41,-36.77,0.0,top
J1_12,9.81,-8.57,0.0,top
J1_11,43.41,-17.97,0.0,top
J1_10,32.21,-17.97,0.0,top
J1_9,9.81,-17.97,0.0,top
J1_8,32.21,-27.37,0.0,top
J1_7,21.01,-17.97,0.0,top
J1_6,21.01,-8.57,0.0,top
J1_5,21.01,-27.37,0.0,top
J1_4,9.81,-36.77,0.0,top
J1_3,43.41,-8.57,0.0,top
J1_2,32.21,-8.57,0.0,top
J1,43.41,-27.37,0.0,top
KIKIT_TO_1,1.5,-1.5,0.0,top
KIKIT_TO_2,51.3,-1.5,0.0,top
KIKIT_TO_3,1.5,-44.1,0.0,top
KIKIT_TO_4,51.3,-44.1,0.0,top
